"state","fuel","generator_cea","node","gen_capacity","voltage","region","vom","var_cost","heat_rate","fuel_price","owner_type","generator_posoco","type","zones_gp"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371272_VARASGN_132_1","371272_VARASGN_132",8,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331309_VARASGN_132_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371277_MANDRUP_132_1","371277_MANDRUP_132",15,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331314_MANDRUP_132_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371286_PANSHET_132_1","371286_PANSHET_132",8,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331323_PANSHET_132_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371289_UJANI-HY_132_1","371289_UJANI-HY_132",12,132,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331326_UJANI-HY_132_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371306_BHIPU1_100_1","371306_BHIPU1_100",12,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331002_BHIPU1_100_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371306_BHIPU1_100_2","371306_BHIPU1_100",12,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331002_BHIPU1_100_2","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371306_BHIPU1_100_3","371306_BHIPU1_100",12,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331002_BHIPU1_100_3","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371306_BHIPU1_100_4","371306_BHIPU1_100",12,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331002_BHIPU1_100_4","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371306_BHIPU1_100_5","371306_BHIPU1_100",24,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331002_BHIPU1_100_5","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371306_BHIPU1_100_6","371306_BHIPU1_100",24,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331002_BHIPU1_100_6","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371311_KHOPO1_100_1","371311_KHOPO1_100",12,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331007_KHOPO1_100_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371311_KHOPO1_100_2","371311_KHOPO1_100",12,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331007_KHOPO1_100_2","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371311_KHOPO1_100_3","371311_KHOPO1_100",12,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331007_KHOPO1_100_3","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371311_KHOPO1_100_4","371311_KHOPO1_100",12,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331007_KHOPO1_100_4","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371311_KHOPO1_100_5","371311_KHOPO1_100",12,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331007_KHOPO1_100_5","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371311_KHOPO1_100_6","371311_KHOPO1_100",12,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331007_KHOPO1_100_6","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371311_KHOPO1_100_7","371311_KHOPO1_100",12,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331007_KHOPO1_100_7","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_371311_KHOPO1_100_8","371311_KHOPO1_100",12,100,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_331007_KHOPO1_100_8","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372034_KOY3-PEDAMBE_220_1","372034_KOY3-PEDAMBE_220",80,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332011_KOY3-2_220_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372034_KOY3-PEDAMBE_220_2","372034_KOY3-PEDAMBE_220",80,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332011_KOY3-2_220_2","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372034_KOY3-PEDAMBE_220_3","372034_KOY3-PEDAMBE_220",80,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332011_KOY3-2_220_3","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372034_KOY3-PEDAMBE_220_4","372034_KOY3-PEDAMBE_220",80,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332011_KOY3-2_220_4","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372040_KOY12-PHOPLI_220_1","372040_KOY12-PHOPLI_220",65,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332020_KOY12-2_220_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372040_KOY12-PHOPLI_220_2","372040_KOY12-PHOPLI_220",65,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332020_KOY12-2_220_2","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372040_KOY12-PHOPLI_220_3","372040_KOY12-PHOPLI_220",65,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332020_KOY12-2_220_3","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372040_KOY12-PHOPLI_220_4","372040_KOY12-PHOPLI_220",65,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332020_KOY12-2_220_4","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372040_KOY12-PHOPLI_220_5","372040_KOY12-PHOPLI_220",78,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332020_KOY12-2_220_5","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372040_KOY12-PHOPLI_220_6","372040_KOY12-PHOPLI_220",78,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332020_KOY12-2_220_6","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372040_KOY12-PHOPLI_220_7","372040_KOY12-PHOPLI_220",78,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332020_KOY12-2_220_7","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372040_KOY12-PHOPLI_220_8","372040_KOY12-PHOPLI_220",78,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332020_KOY12-2_220_8","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_372043_TILLA2_220_1","372043_TILLA2_220",60,220,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_332022_TILLA2_220_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_374026_KOY4-4_400_1","374026_KOY4-4_400",250,400,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_334025_KOY4-4_400_1","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_374026_KOY4-4_400_2","374026_KOY4-4_400",250,400,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_334025_KOY4-4_400_2","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_374026_KOY4-4_400_3","374026_KOY4-4_400",250,400,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_334025_KOY4-4_400_3","hydro","Maharashtra"
"MAHARASHTRA","HYDRO-STORAGE","GEN_374026_KOY4-4_400_4","374026_KOY4-4_400",250,400,"WR",0,0,NA,0,"MAHARASHTRA State or Private","GEN_334025_KOY4-4_400_4","hydro","Maharashtra"
"MANIPUR","HYDRO-STORAGE","GEN_251080_LOKTAK1_132_1","251080_LOKTAK1_132",35,132,"NER",0,0,NA,0,"MANIPUR Central","GEN_531001_LOKTAK1_132_1","hydro","Manipur"
"MANIPUR","HYDRO-STORAGE","GEN_251080_LOKTAK1_132_2","251080_LOKTAK1_132",35,132,"NER",0,0,NA,0,"MANIPUR Central","GEN_531001_LOKTAK1_132_2","hydro","Manipur"
"MANIPUR","HYDRO-STORAGE","GEN_251080_LOKTAK1_132_3","251080_LOKTAK1_132",35,132,"NER",0,0,NA,0,"MANIPUR Central","GEN_531001_LOKTAK1_132_3","hydro","Manipur"
"MEGHALAYA","HYDRO-ROR","GEN_231000_UMTRU1_132_1","231000_UMTRU1_132",2.8,132,"NER",0,0,NA,0,"MEGHALAYA State or Private","GEN_541012_UMTRU1_132_1","mustrun","Meghalaya"
"MEGHALAYA","HYDRO-ROR","GEN_231000_UMTRU1_132_2","231000_UMTRU1_132",2.8,132,"NER",0,0,NA,0,"MEGHALAYA State or Private","GEN_541012_UMTRU1_132_2","mustrun","Meghalaya"
"MEGHALAYA","HYDRO-ROR","GEN_231000_UMTRU1_132_3","231000_UMTRU1_132",2.8,132,"NER",0,0,NA,0,"MEGHALAYA State or Private","GEN_541012_UMTRU1_132_3","mustrun","Meghalaya"
