Fuel,Generator,Transport Charge
SUBCRITICAL-COAL,GEN_182907_DADRI_TH_220_3,313.08
SUBCRITICAL-COAL,GEN_182907_DADRI_TH_220_4,313.08
SUBCRITICAL-COAL,GEN_182907_DADRI_TH_220_SW,313.08
SUBCRITICAL-COAL,GEN_182921_BADARPR2_220_1,336.7
SUBCRITICAL-COAL,GEN_182921_BADARPR2_220_2,336.7
SUBCRITICAL-COAL,GEN_182921_BADARPR2_220_3,336.7
SUBCRITICAL-COAL,GEN_182921_BADARPR2_220_4,336.7
SUBCRITICAL-COAL,GEN_182921_BADARPR2_220_5,336.7
CCGT-GAS,GEN_182922_FARIDAB2_220_G1,189.57
CCGT-GAS,GEN_182922_FARIDAB2_220_G2,189.57
CCGT-GAS,GEN_182922_FARIDAB2_220_S1,189.57
SUBCRITICAL-COAL,GEN_184067_UNCHAHAAR_400_1,66.8
SUBCRITICAL-COAL,GEN_184400_JHAJJAR4_400_1,334.08
SUBCRITICAL-COAL,GEN_184400_JHAJJAR4_400_2,334.08
SUBCRITICAL-COAL,GEN_184400_JHAJJAR4_400_3,334.08
SUBCRITICAL-COAL,GEN_184416_RIHAND-G_400_1,103.98
SUBCRITICAL-COAL,GEN_184416_RIHAND-G_400_2,103.98
SUBCRITICAL-COAL,GEN_184416_RIHAND-G_400_3,106.61
SUBCRITICAL-COAL,GEN_184416_RIHAND-G_400_4,106.61
SUBCRITICAL-COAL,GEN_184424_DADR-NCR_400_5,326.2
SUBCRITICAL-COAL,GEN_184424_DADR-NCR_400_6,326.2
SUBCRITICAL-COAL,GEN_184446_RIHNDEXT_400_5,78.61
SUBCRITICAL-COAL,GEN_184446_RIHNDEXT_400_6,78.61
SUBCRITICAL-COAL,GEN_184458_SHRECEM_400_1,274.58
SUBCRITICAL-COAL,GEN_184458_SHRECEM_400_2,274.58
SUBCRITICAL-COAL,GEN_184923_SINGRL4_400_1,65.49
SUBCRITICAL-COAL,GEN_184923_SINGRL4_400_2,65.49
SUBCRITICAL-COAL,GEN_184923_SINGRL4_400_3,65.49
SUBCRITICAL-COAL,GEN_184923_SINGRL4_400_4,65.49
SUBCRITICAL-COAL,GEN_184923_SINGRL4_400_5,65.49
SUBCRITICAL-COAL,GEN_184923_SINGRL4_400_6,65.49
SUBCRITICAL-COAL,GEN_184923_SINGRL4_400_7,65.49
CT-GAS,GEN_211350_PAILAPOL1_132_1,256.64
SUBCRITICAL-OIL,GEN_211350_PAILAPOL1_132_2,390.98
CT-GAS,GEN_211450_LTPS1_132_1,140.56
CT-GAS,GEN_211450_LTPS1_132_2,140.56
CT-GAS,GEN_211450_LTPS1_132_3,140.56
CT-GAS,GEN_211450_LTPS1_132_4,235.66
CT-GAS,GEN_211450_LTPS1_132_5,140.56
CT-GAS,GEN_211450_LTPS1_132_6,140.56
CT-GAS,GEN_211450_LTPS1_132_7,140.56
CT-GAS,GEN_211460_NTPS1_132_1,119.78
CT-GAS,GEN_211460_NTPS1_132_2,119.78
CT-GAS,GEN_211460_NTPS1_132_3,119.78
CT-GAS,GEN_211460_NTPS1_132_4,119.78
CCGT-GAS,GEN_211460_NTPS1_132_5,285.6
CT-GAS,GEN_211460_NTPS1_132_6,119.78
CCGT-GAS,GEN_212001_AGBPP2-AS_220_1,370.64
CCGT-GAS,GEN_212001_AGBPP2-AS_220_2,370.64
CCGT-GAS,GEN_212001_AGBPP2-AS_220_3,370.64
CCGT-GAS,GEN_212001_AGBPP2-AS_220_4,370.64
CCGT-GAS,GEN_212001_AGBPP2-AS_220_5,370.64
CCGT-GAS,GEN_212001_AGBPP2-AS_220_6,370.64
CCGT-GAS,GEN_212001_AGBPP2-AS_220_7,370.64
CCGT-GAS,GEN_212001_AGBPP2-AS_220_8,370.64
CCGT-GAS,GEN_212001_AGBPP2-AS_220_9,370.64
SUBCRITICAL-COAL,GEN_214051_BTPS4_400_1,212.47
SUBCRITICAL-COAL,GEN_214051_BTPS4_400_2,212.47
SUBCRITICAL-COAL,GEN_231150_ADHUNIK1_132_1,212.47
SUBCRITICAL-COAL,GEN_231410_MPL_132_1,178.76
SUBCRITICAL-COAL,GEN_231410_MPL_132_2,178.76
SUBCRITICAL-OIL,GEN_261080_BAIRABI1_132_1,390.98
SUBCRITICAL-COAL,GEN_271080_TELIMURA1_132_1,178.76
SUBCRITICAL-COAL,GEN_271080_TELIMURA1_132_2,178.76
SUBCRITICAL-COAL,GEN_271080_TELIMURA1_132_3,178.76
CCGT-GAS,GEN_271120_AGTPP1_132_1,415.91
CCGT-GAS,GEN_271120_AGTPP1_132_2,415.91
CCGT-GAS,GEN_271120_AGTPP1_132_3,415.91
CCGT-GAS,GEN_271120_AGTPP1_132_4,415.91
CCGT-GAS,GEN_271120_AGTPP1_132_5,415.91
CCGT-GAS,GEN_271120_AGTPP1_132_6,415.91
CT-GAS,GEN_271340_ROKHIA1_132_1,60.16
CT-GAS,GEN_271340_ROKHIA1_132_2,60.16
CT-GAS,GEN_271340_ROKHIA1_132_3,60.16
CT-GAS,GEN_271600_MONARCHAK1_132_1,183.92
CCGT-GAS,GEN_274080_PALATAN4_400_1,219.75
CCGT-GAS,GEN_274080_PALATAN4_400_2,219.75
CT-GAS,GEN_276360_ROKHIA6_66_1,60.16
CT-GAS,GEN_276360_ROKHIA6_66_2,60.16
CT-GAS,GEN_276430_BARAMRA6_66_1,43.9
CT-GAS,GEN_276430_BARAMRA6_66_2,43.9
SUBCRITICAL-COAL,GEN_311012_RAIGARH_132_1,103.83
SUBCRITICAL-COAL,GEN_311012_RAIGARH_132_2,103.83
DIESEL,GEN_311014_SILTARA_132_1,40.33
DIESEL,GEN_311034_KVK_132_1,40.33
SUBCRITICAL-COAL,GEN_311035_ARASMETA_132_1,103.83
SUBCRITICAL-COAL,GEN_311041_MONNET_R_132_1,103.83
COGENERATION-BAGASSE,GEN_311044_BAGRANG_132_1,395.84
COGENERATION-BAGASSE,GEN_311057_MAHA-CL_132_1,395.84
SUBCRITICAL-COAL,GEN_311084_SKS_132_1,103.83
COGENERATION-BAGASSE,GEN_311085_JAGDMBA_132_1,395.84
COGENERATION-BAGASSE,GEN_311086_GODVRI-P_132_1,395.84
DIESEL,GEN_311087_VANDANA_132_1,40.33
COGENERATION-BAGASSE,GEN_311088_NAKODA_132_1,395.84
COGENERATION-BAGASSE,GEN_311089_SHARD-EN_132_1,395.84
COGENERATION-BAGASSE,GEN_311092_HIRA-PL_132_1,395.84
COGENERATION-BAGASSE,GEN_311092_HIRA-PL_132_2,395.84
COGENERATION-BAGASSE,GEN_311092_HIRA-PL_132_3,395.84
COGENERATION-BAGASSE,GEN_311093_BAJRNG-P_132_1,395.84
SUBCRITICAL-COAL,GEN_311095_ARYAN-CL_132_1,1.62
COGENERATION-BAGASSE,GEN_311096_CSPL_132_1,395.84
COGENERATION-BAGASSE,GEN_311097_PIL_132_1,395.84
COGENERATION-BAGASSE,GEN_311103_MSP-STL_132_1,395.84
COGENERATION-BAGASSE,GEN_311105_RL-I-LTD_132_1,395.84
SUBCRITICAL-COAL,GEN_311113_MONNET-M_132_1,103.83
COGENERATION-BAGASSE,GEN_311114_SALASAR_132_1,395.84
SUBCRITICAL-COAL,GEN_311115_SPECTRUM-CL_132_1,103.83
SUBCRITICAL-COAL,GEN_311115_SPECTRUM-CL_132_2,103.83
SUBCRITICAL-COAL,GEN_312001_KORBE2_220_1,168.72
SUBCRITICAL-COAL,GEN_312001_KORBE2_220_2,168.72
SUBCRITICAL-COAL,GEN_312001_KORBE2_220_3,168.72
SUBCRITICAL-COAL,GEN_312001_KORBE2_220_4,168.72
SUBCRITICAL-COAL,GEN_312001_KORBE2_220_5,168.72
SUBCRITICAL-COAL,GEN_312001_KORBE2_220_6,168.72
SUBCRITICAL-COAL,GEN_312003_KORBW2_220_1,106.61
