Generator,Fuel
GEN_182236_ANTA2_220_S1,CCGT-GAS
GEN_182238_DADRI_G2_220_G1,CCGT-GAS
GEN_182238_DADRI_G2_220_G2,CCGT-GAS
GEN_182238_DADRI_G2_220_G3,CCGT-GAS
GEN_182238_DADRI_G2_220_G4,CCGT-GAS
GEN_182238_DADRI_G2_220_S1,CCGT-GAS
GEN_182238_DADRI_G2_220_S2,CCGT-GAS
GEN_182262_RAPS_B2_220_3,NUCLEAR
GEN_182262_RAPS_B2_220_4,NUCLEAR
GEN_182267_UNCHAHR2_220_1,SUBCRITICAL-COAL
GEN_182267_UNCHAHR2_220_2,SUBCRITICAL-COAL
GEN_182267_UNCHAHR2_220_3,SUBCRITICAL-COAL
GEN_182267_UNCHAHR2_220_4,SUBCRITICAL-COAL
GEN_182267_UNCHAHR2_220_5,SUBCRITICAL-COAL
GEN_182907_DADRI_TH_220_1,SUBCRITICAL-COAL
GEN_182907_DADRI_TH_220_2,SUBCRITICAL-COAL
GEN_182907_DADRI_TH_220_3,SUBCRITICAL-COAL
GEN_182907_DADRI_TH_220_4,SUBCRITICAL-COAL
GEN_182907_DADRI_TH_220_SW,SUBCRITICAL-COAL
GEN_182921_BADARPR2_220_1,SUBCRITICAL-COAL
GEN_182921_BADARPR2_220_2,SUBCRITICAL-COAL
GEN_182921_BADARPR2_220_3,SUBCRITICAL-COAL
GEN_182921_BADARPR2_220_4,SUBCRITICAL-COAL
GEN_182921_BADARPR2_220_5,SUBCRITICAL-COAL
GEN_182922_FARIDAB2_220_G1,CCGT-GAS
GEN_182922_FARIDAB2_220_G2,CCGT-GAS
GEN_182922_FARIDAB2_220_S1,CCGT-GAS
GEN_182927_NAPP2_220_1,NUCLEAR
GEN_182927_NAPP2_220_2,NUCLEAR
GEN_182928_CHAMER-3_220_1,HYDRO-PONDAGE
GEN_182928_CHAMER-3_220_2,HYDRO-PONDAGE
GEN_182928_CHAMER-3_220_3,HYDRO-PONDAGE
GEN_182929_KUTEHR_220_1,HYDRO-STORAGE
GEN_182929_KUTEHR_220_2,HYDRO-STORAGE
GEN_182929_KUTEHR_220_3,HYDRO-STORAGE
GEN_182929_KUTEHR_220_4,HYDRO-STORAGE
GEN_184067_UNCHAHAAR_400_1,SUBCRITICAL-COAL
GEN_184400_JHAJJAR4_400_1,SUBCRITICAL-COAL
GEN_184400_JHAJJAR4_400_2,SUBCRITICAL-COAL
GEN_184400_JHAJJAR4_400_3,SUBCRITICAL-COAL
GEN_184401_CHAMERA-2_400_1,HYDRO-PONDAGE
GEN_184401_CHAMERA-2_400_2,HYDRO-PONDAGE
GEN_184401_CHAMERA-2_400_3,HYDRO-PONDAGE
GEN_184405_RAPS_C4_400_5,NUCLEAR
GEN_184405_RAPS_C4_400_6,NUCLEAR
GEN_184411_CHAMERA-1_400_1,HYDRO-ROR
GEN_184411_CHAMERA-1_400_2,HYDRO-ROR
GEN_184411_CHAMERA-1_400_3,HYDRO-ROR
GEN_184414_URIG-1_400_1,HYDRO-ROR
GEN_184414_URIG-1_400_2,HYDRO-ROR
GEN_184414_URIG-1_400_3,HYDRO-ROR
GEN_184414_URIG-1_400_4,HYDRO-ROR
GEN_184416_RIHAND-G_400_1,SUBCRITICAL-COAL
GEN_184416_RIHAND-G_400_2,SUBCRITICAL-COAL
GEN_184416_RIHAND-G_400_3,SUBCRITICAL-COAL
GEN_184416_RIHAND-G_400_4,SUBCRITICAL-COAL
GEN_184418_DULHASTI_400_1,HYDRO-PONDAGE
GEN_184418_DULHASTI_400_2,HYDRO-PONDAGE
