Line,Node From,Node To,Type,Voltage.From,Voltage.To,Max Flow,Min Flow,ratingA,ratingB,ratingC,Resistance,Reactance,Status,Length,Units
154026_154036_1_CKT,154026_GORTCSC1_400,154036_GORAKHPU_400,AC,400,400,517,-517,517,874,937.2,0,-0.0163,1,NA,1
154026_214003_A_CKT,154026_GORTCSC1_400,214003_MUZZAFARPUR4_400,AC,400,400,687,-687,687,1748.7,0,0.0023952,0.0412902,1,NA,1
154027_154036_1_CKT,154027_GORTCSC2_400,154036_GORAKHPU_400,AC,400,400,517,-517,517,874,937.2,0,-0.0163,1,NA,1
154027_214003_A_CKT,154027_GORTCSC2_400,214003_MUZZAFARPUR4_400,AC,400,400,687,-687,687,1748.7,0,0.0023952,0.0412902,1,NA,1
154030_154036_1_CKT,154030_LU-GKFC1_400,154036_GORAKHPU_400,AC,400,400,517,-517,517,1093,1202.3,0.00458,0.05103,1,NA,1
154030_154040_1_CKT,154030_LU-GKFC1_400,154040_LUCK4-PG_400,AC,400,400,517,-517,517,1093,1202.3,0,-0.01531,1,NA,1
154031_154036_2_CKT,154031_LU-GKFC2_400,154036_GORAKHPU_400,AC,400,400,517,-517,517,1093,1202.3,0.00458,0.05103,1,NA,1
154031_154040_2_CKT,154031_LU-GKFC2_400,154040_LUCK4-PG_400,AC,400,400,517,-517,517,1093,1202.3,0,-0.01531,1,NA,1
154032_154047_1_CKT,154032_MAINFSC1_400,154047_MAINPURI_400,AC,400,400,517,-517,517,874,937.2,1e-05,-0.03016,1,NA,1
154032_154049_1_CKT,154032_MAINFSC1_400,154049_FATEH-PG_400,AC,400,400,517,-517,517,874,937.2,0.0048,0.054,1,NA,1
154033_154047_2_CKT,154033_MAINFSC2_400,154047_MAINPURI_400,AC,400,400,517,-517,517,874,937.2,1e-05,-0.03016,1,NA,1
154033_154049_1_CKT,154033_MAINFSC2_400,154049_FATEH-PG_400,AC,400,400,517,-517,517,874,937.2,0.0048,0.054,1,NA,1
154034_154035_1_CKT,154034_AGRA_400,154035_AURYA4_400,AC,400,400,517,-517,517,874,937.2,0.00309,0.03441,1,NA,1
154034_154035_2_CKT,154034_AGRA_400,154035_AURYA4_400,AC,400,400,517,-517,517,874,937.2,0.00309,0.03441,1,NA,1
154034_154037_1_CKT,154034_AGRA_400,154037_KANPUR_400,AC,400,400,517,-517,517,874,937.2,0.00447,0.0498,1,NA,1
154034_154064_1_CKT,154034_AGRA_400,154064_AGRA_HVDC_400,AC,400,400,870,-870,0,0,0,0,1e-04,1,NA,1
154035_154037_1_CKT,154035_AURYA4_400,154037_KANPUR_400,AC,400,400,517,-517,517,1093,1202.3,0.00135,0.01507,1,NA,1
154035_154037_2_CKT,154035_AURYA4_400,154037_KANPUR_400,AC,400,400,517,-517,517,1093,1202.3,0.00136,0.01519,1,NA,1
154036_154040_1_CKT,154036_GORAKHPU_400,154040_LUCK4-PG_400,AC,400,400,517,-517,517,1093,1202.3,0.00488,0.05437,1,NA,1
154036_154040_2_CKT,154036_GORAKHPU_400,154040_LUCK4-PG_400,AC,400,400,517,-517,517,1093,1202.3,0.00488,0.05437,1,NA,1
154036_214008_Q1_CKT,154036_GORAKHPU_400,214008_BARH_400,AC,400,400,870,-870,0,1748.68,0,0.00323948,0.0558446,1,NA,1
154036_214008_Q2_CKT,154036_GORAKHPU_400,214008_BARH_400,AC,400,400,870,-870,0,1748.68,0,0.00323948,0.0558446,1,NA,1
154037_154045_2_CKT,154037_KANPUR_400,154045_K-B-FSC2_400,AC,400,400,517,-517,517,1093,1202.3,0.00692,0.07708,1,NA,1
154037_154046_3_CKT,154037_KANPUR_400,154046_K-B-FSC3_400,AC,400,400,517,-517,517,1093,1202.3,0.00692,0.07708,1,NA,1
154037_154049_1_CKT,154037_KANPUR_400,154049_FATEH-PG_400,AC,400,400,517,-517,517,874,937.2,0.00186,0.02075,1,NA,1
154037_154049_2_CKT,154037_KANPUR_400,154049_FATEH-PG_400,AC,400,400,517,-517,517,874,937.2,0.00209,0.02334,1,NA,1
154037_154053_1_CKT,154037_KANPUR_400,154053_ALLAHABA_400,AC,400,400,517,-517,517,874,937.2,0.00418,0.04668,1,NA,1
154038_154056_1_CKT,154038_VINDHYBT_400,154056_SINGRL4_400,AC,400,400,518,-518,518,874,937.2,6e-05,0.00069,1,NA,1
154038_154056_2_CKT,154038_VINDHYBT_400,154056_SINGRL4_400,AC,400,400,518,-518,518,874,937.2,9e-05,0.00101,1,NA,1
154038_324030_5_CKT_DC,154038_VINDHYBT_400,324030_VINDHYACHAL_400,DC,400,400,125,-125,NA,NA,NA,1e-04,NA,1,NA,1
154038_324030_6_CKT_DC,154038_VINDHYBT_400,324030_VINDHYACHAL_400,DC,400,400,125,-125,NA,NA,NA,1e-04,NA,1,NA,1
154039_154044_3_CKT_DC,154039_RIHAN-HV_400,154044_DADR-HVD_400,DC,400,400,650,-650,NA,NA,NA,0.107,NA,1,NA,1
154039_154044_4_CKT_DC,154039_RIHAN-HV_400,154044_DADR-HVD_400,DC,400,400,650,-650,NA,NA,NA,0.107,NA,1,NA,1
154039_154057_1_CKT,154039_RIHAN-HV_400,154057_RIHAND-G_400,AC,400,400,527,-527,527,874,937.2,1e-05,1e-04,1,NA,1
